"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"68","Accipiter_striatus","Accipitridae","Accipitriformes","Accipiter striatus",19.4,10.5,8.7,10.4,49.8,184.2,60,124.2,32.5,144.2,130.6,"Forest",1,"migratory","Carnivore","Vertivore","Aerial",NA,NA,NA,NA,NA,"Extant"
"69","Accipiter_ventralis","Accipitridae","Accipitriformes","Accipiter ventralis",18.4,9.9,6.5,9.3,50.7,180,52.8,130,28.8,126.4,233,"Forest",1,"migratory","Carnivore","Vertivore","Generalist",NA,NA,NA,NA,NA,"Extant"
"70","Accipiter_virgatus","Accipitridae","Accipitriformes","Accipiter virgatus",21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,"Forest",1,"partially_migratory","Carnivore","Vertivore","Generalist",-8.98,35.61,22.08,101.25,4398429.71,"Extant"
"71","Aquila_adalberti","Accipitridae","Accipitriformes","Aquila adalberti",61.2,39.8,21.1,31,98.4,592.5,235,357.5,39.7,297,2958,"Woodland",1,"partially_migratory","Carnivore","Vertivore","Generalist",36.28,41.56,39.06,-5.23,131221.76,"Extant"
"72","Aquila_africanus","Accipitridae","Accipitriformes","Aquila africanus",39.4,23.4,12.8,20.4,76.6,342.2,93.8,248.4,27.4,277.8,1047,"Woodland",1,"partially_migratory","Carnivore","Vertivore","Generalist",-8.47,9.95,1.97,13.68,1918245.9,"Extant"
"73","Aquila_audax","Accipitridae","Accipitriformes","Aquila audax",60.5,40.9,19.6,31.2,104,617.7,244.5,373.2,39.6,387,3449.9,"Woodland",1,"partially_migratory","Carnivore","Vertivore","Generalist",-43.64,-8.78,-25.74,134.48,7679648.03,"Extant"
"74","Aquila_chrysaetos","Accipitridae","Accipitriformes","Aquila chrysaetos",56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Aerial",6.36,71.12,50.67,38.05,39450257.98,"Extant"
"75","Aquila_clanga","Accipitridae","Accipitriformes","Aquila clanga",50.2,31.2,15.6,23.2,96.8,510.6,192.2,314.8,37.9,261.4,2154.3,"Wetland",3,"migratory","Carnivore","Vertivore","Generalist",38.72,65.94,55.15,73.97,8980278.98,"Extant"
"76","Aquila_fasciatus","Accipitridae","Accipitriformes","Aquila fasciatus",45.7,28.9,16.2,23.7,93.2,486.8,181.8,305,37.3,260,1936.5,"Rock",3,"partially_migratory","Carnivore","Vertivore","Aerial",-10.37,45.24,27.52,62.08,5630034.84,"Extant"
"77","Aquila_hastata","Accipitridae","Accipitriformes","Aquila hastata",44.4,26.4,14,18.9,90.2,456.5,191.8,264.8,42,208.5,1359.4,"Woodland",2,"partially_migratory","Carnivore","Vertivore","Generalist",8.07,32.46,21.43,81.1,2409106.07,"Extant"
"78","Aquila_heliaca","Accipitridae","Accipitriformes","Aquila heliaca",59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.2,"Woodland",1,"migratory","Carnivore","Vertivore","Generalist",35.35,59.75,49.87,70.89,9556213.62,"Extant"
"79","Aquila_nipalensis","Accipitridae","Accipitriformes","Aquila nipalensis",54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.3,"Grassland",3,"migratory","Carnivore","Vertivore","Aerial",31.2,53.52,43.73,85.14,6933240.92,"Extant"
"80","Aquila_pomarina","Accipitridae","Accipitriformes","Aquila pomarina",47.3,26.9,13.4,19.5,91.6,459.3,184.8,271,40.6,213,1359.4,"Forest",1,"migratory","Carnivore","Vertivore","Generalist",35.81,60.04,49.67,26.85,2013351.79,"Extant"
"81","Aquila_rapax","Accipitridae","Accipitriformes","Aquila rapax",54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2236.1,"Shrubland",2,"migratory","Carnivore","Vertivore","Generalist",-34.31,36.93,3.92,30.52,17572054.36,"Extant"
"82","Aviceda_leuphotes","Accipitridae","Accipitriformes","Aviceda leuphotes",24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,"Forest",2,"migratory","Carnivore","Invertivore","Insessorial",8.56,33.35,23.21,103.96,3528791.57,"Extant"
"83","Butastur_indicus","Accipitridae","Accipitriformes","Butastur indicus",40.5,18.4,10.4,14.5,53.4,327.6,155.1,175.9,46.9,191.8,414.6,"Woodland",2,"migratory","Carnivore","Vertivore","Insessorial",30.99,52.35,44.31,129.81,1828306.34,"Extant"
"84","Buteo_albigula","Accipitridae","Accipitriformes","Buteo albigula",27.9,17.9,11.4,15.2,57.9,291,109.6,181.4,37.6,182.2,525,"Forest",2,"migratory","Carnivore","Vertivore","Generalist",-51.06,5.43,-24.5,-72.05,1021826.91,"Extant"
"85","Buteo_buteo","Accipitridae","Accipitriformes","Buteo buteo",35.6,21.1,12.5,16.6,75.7,374.6,143.8,231.2,38.2,204.1,759.1,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Insessorial",12.3,67.81,52.89,64.71,16600070.45,"Extant"
"86","Buteo_jamaicensis","Accipitridae","Accipitriformes","Buteo jamaicensis",37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,"Woodland",2,"migratory","Carnivore","Vertivore","Insessorial",8.36,68.66,45.5,-105.33,15462822.34,"Extant"
"87","Buteo_lagopus","Accipitridae","Accipitriformes","Buteo lagopus",34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,"Grassland",3,"migratory","Carnivore","Vertivore","Insessorial",47.6,83.11,67.33,2.14,9709846.76,"Extant"
"88","Buteo_lineatus","Accipitridae","Accipitriformes","Buteo lineatus",33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.7,"Woodland",1,"migratory","Carnivore","Vertivore","Aerial",24.95,47.85,37.72,-86.88,3542030.5,"Extant"
"89","Buteo_platypterus","Accipitridae","Accipitriformes","Buteo platypterus",28.3,17.8,11.1,14.4,53.4,277.7,103.7,177.4,36.9,178.8,453.7,"Forest",2,"migratory","Carnivore","Vertivore","Insessorial",11.13,55.3,42.9,-87.09,4864047.78,"Extant"
"90","Buteo_polyosoma","Accipitridae","Accipitriformes","Buteo polyosoma",36.3,21.1,13,18.3,83.4,402,153.3,249.8,38.1,192.8,782.6,"Shrubland",2,"partially_migratory","Carnivore","Vertivore","Aerial",-55.98,6.3,-31.98,-70.13,3165493.22,"Extant"
"91","Buteo_regalis","Accipitridae","Accipitriformes","Buteo regalis",41.3,23.8,18.3,20.2,81.6,431,179.2,254.5,41.3,240.6,1437.2,"Grassland",3,"migratory","Carnivore","Vertivore","Generalist",33.21,53.3,43.14,-108.76,2780053.23,"Extant"
"92","Buteo_rufinus","Accipitridae","Accipitriformes","Buteo rufinus",41.6,23.5,14,19.8,86.1,447.5,180.8,266.8,40.5,244.5,1166.2,"Grassland",3,"migratory","Carnivore","Vertivore","Generalist",13.22,53.66,40.86,49.85,8574436.83,"Extant"
"93","Buteo_rufofuscus","Accipitridae","Accipitriformes","Buteo rufofuscus",39.8,23.2,13.4,17.9,84.9,413.2,140.6,275.9,33.8,190.4,1530,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Generalist",-34.84,-19.37,-28.14,23.03,1533534.66,"Extant"
"94","Buteo_swainsoni","Accipitridae","Accipitriformes","Buteo swainsoni",35.3,21,13.6,16.6,60.7,383.7,175.2,201.8,46.6,193.6,946.6,"Grassland",3,"migratory","Carnivore","Vertivore","Insessorial",24.73,57.08,40.95,-107.07,4303055.16,"Extant"
"95","Buteo_ventralis","Accipitridae","Accipitriformes","Buteo ventralis",37.2,23.2,13,19,76.8,359,118.4,240.6,33,221.5,1190.5,"Forest",1,"partially_migratory","Carnivore","Vertivore","Insessorial",-55.92,-35.01,-47.95,-71.73,536992.07,"Extant"
"96","Chondrohierax_uncinatus","Accipitridae","Accipitriformes","Chondrohierax uncinatus",36.2,27,12.4,18.4,33.6,285.3,59.8,224.2,21,197.6,286.1,"Forest",2,"partially_migratory","Carnivore","Invertivore","Insessorial",-27.24,26.3,-2.71,-64.2,9787616.08,"Extant"
"97","Chondrohierax_wilsonii","Accipitridae","Accipitriformes","Chondrohierax wilsonii",38.4,30.4,11.8,20.6,23,244,63.5,180.5,26,185,286.1,"Forest",2,"partially_migratory","Carnivore","Invertivore","Insessorial",20.18,20.75,20.47,-74.96,3890.11,"Extant"
"98","Circaetus_gallicus","Accipitridae","Accipitriformes","Circaetus gallicus",47,35,15.5,24.6,90.9,537,216.8,320.2,40.5,280.4,1699.1,"Woodland",3,"migratory","Carnivore","Vertivore","Aerial",-10.94,60.6,40.79,51.26,12695589.93,"Extant"
"99","Circus_aeruginosus","Accipitridae","Accipitriformes","Circus aeruginosus",37.3,20.2,11.9,16.2,79.3,405.7,185.3,221.2,45.6,233.9,704.1,"Wetland",3,"partially_migratory","Carnivore","Vertivore","Aerial",29.17,66.56,50.03,51.14,13390803.81,"Extant"
"100","Circus_approximans","Accipitridae","Accipitriformes","Circus approximans",39.5,21.9,11.9,16.4,89.3,406.9,181.9,225,44.7,233.2,746.2,"Wetland",3,"partially_migratory","Carnivore","Vertivore","Aerial",-47.28,-13.07,-33.9,146.38,2033024.84,"Extant"
"101","Circus_assimilis","Accipitridae","Accipitriformes","Circus assimilis",36.1,20.2,11.2,16.2,95.2,421.6,191.6,234,45,271.1,558.6,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Aerial",-39.14,1.76,-25,134.02,7817547.59,"Extant"
"102","Circus_buffoni","Accipitridae","Accipitriformes","Circus buffoni",41.4,20.9,12.7,16.6,85.3,436,210,226,48.2,265,507.4,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Aerial",-41.17,10.7,-22.38,-55.29,4327364.53,"Extant"
"103","Circus_cinereus","Accipitridae","Accipitriformes","Circus cinereus",29.8,15.7,9.3,12.9,67.5,344.5,154.5,194.7,44.3,240.4,399.7,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Aerial",-55.98,6.79,-36.62,-69.21,2424495.35,"Extant"
"104","Circus_cyaneus","Accipitridae","Accipitriformes","Circus cyaneus",30.6,16.6,9.9,13.1,76.5,355,159.6,198,44.7,172.3,393,"Grassland",3,"migratory","Carnivore","Vertivore","Aerial",30.02,73.38,56.03,7.66,29678658.41,"Extant"
"105","Circus_macrourus","Accipitridae","Accipitriformes","Circus macrourus",29.5,15,9.7,12.7,68,351.2,185,168.4,52.4,226.6,384.4,"Grassland",3,"migratory","Carnivore","Vertivore","Aerial",41.23,58.45,51.02,62.85,6168290.72,"Extant"
"106","Circus_melanoleucos","Accipitridae","Accipitriformes","Circus melanoleucos",29.9,15.5,9.4,13.1,72.5,352.6,179.8,176.5,50.5,214,336.3,"Grassland",3,"migratory","Carnivore","Vertivore","Aerial",25.99,54.28,49.1,122.04,1811211.65,"Extant"
"107","Circus_pygargus","Accipitridae","Accipitriformes","Circus pygargus",26.1,13.5,8.6,11.2,62,362.3,188,173.3,52,224.8,310.8,"Grassland",3,"migratory","Carnivore","Vertivore","Aerial",30.56,60.25,49.91,45.8,6837154.32,"Extant"
"108","Circus_spilonotus","Accipitridae","Accipitriformes","Circus spilonotus",36.4,20.5,11.9,15.1,87.5,390.9,160.2,230.4,40.9,228.2,558.8,"Wetland",3,"migratory","Carnivore","Vertivore","Aerial",-10.15,64.43,52.4,121.64,5799481.42,"Extant"
"109","Elanoides_forficatus","Accipitridae","Accipitriformes","Elanoides forficatus",29.4,19,10.2,12.3,33.5,412.8,189.1,214.7,46.9,279.2,416.2,"Forest",2,"migratory","Carnivore","Invertivore","Generalist",-36.81,47.17,-5.62,-60.19,13295665.49,"Extant"
"110","Elanus_axillaris","Accipitridae","Accipitriformes","Elanus axillaris",25.3,15.5,9,11.4,38.8,288.4,153,135.2,53.1,136.8,270.1,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Aerial",-43.06,-10.69,-25.69,134.44,7649038.18,"Extant"
"111","Elanus_caeruleus","Accipitridae","Accipitriformes","Elanus caeruleus",30.9,16,9.2,11.3,32.1,286.3,132.1,160.2,45.2,127.7,259.8,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Aerial",-34.84,46.65,3.69,41.21,26685941.8,"Extant"
"112","Elanus_leucurus","Accipitridae","Accipitriformes","Elanus leucurus",25.3,15.3,8.8,10.9,31.8,294,120.3,168.4,41.5,170.3,346,"Human Modified",3,"partially_migratory","Carnivore","Vertivore","Aerial",-43.45,46.27,-8.72,-64.01,12522294.39,"Extant"
"113","Elanus_scriptus","Accipitridae","Accipitriformes","Elanus scriptus",26.2,16.2,11.8,12,38.3,302.2,148.8,153.5,49.2,139.8,316,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Aerial",-30.46,-12.04,-22.87,139.41,727463.72,"Extant"
"114","Gypaetus_barbatus","Accipitridae","Accipitriformes","Gypaetus barbatus",78.2,46.6,20.8,28.1,103.6,760.6,370.2,378,49.5,468,5695,"Rock",3,"partially_migratory","Scavenger","Scavenger","Terrestrial",-31.4,51.5,34.75,76.41,8369572.33,"Extant"
"115","Haliaeetus_albicilla","Accipitridae","Accipitriformes","Haliaeetus albicilla",74.1,46.1,22.9,33.9,95,599.5,227.2,370.9,38,294.2,4729.3,"Rock",3,"partially_migratory","Carnivore","Aquatic predator","Aerial",36.21,73.65,59.89,91.01,17404346.92,"Extant"
"116","Haliaeetus_leucocephalus","Accipitridae","Accipitriformes","Haliaeetus leucocephalus",76,48.2,24,34.1,81.7,601.8,248.8,353,41.4,294,4700.6,"Wetland",3,"migratory","Carnivore","Omnivore","Generalist",24.3,69.43,54.57,-113.86,9351853.96,"Extant"
"117","Haliaeetus_leucoryphus","Accipitridae","Accipitriformes","Haliaeetus leucoryphus",63.6,39.1,19.3,28.3,95.3,566.6,241,322.8,42.8,290.3,2885.9,"Wetland",3,"migratory","Carnivore","Aquatic predator","Aerial",19.59,32.57,27.12,85.7,533825.64,"Extant"
"118","Haliaeetus_pelagicus","Accipitridae","Accipitriformes","Haliaeetus pelagicus",90.6,60.3,28.9,47,96.3,598.5,186.2,412.2,31.1,333.6,7757,"Wetland",3,"migratory","Carnivore","Aquatic predator","Generalist",48.64,65.07,58.65,151.19,1293649.63,"Extant"
"119","Hamirostra_melanosternon","Accipitridae","Accipitriformes","Hamirostra melanosternon",40.1,23.8,12.7,16.3,53,472.6,244.5,226,52,233,1196,"Woodland",2,"partially_migratory","Carnivore","Vertivore","Aerial",-38.14,-9.94,-23.36,133.35,5297941.74,"Extant"
"120","Harpagus_diodon","Accipitridae","Accipitriformes","Harpagus diodon",23.2,13.8,10.7,13.5,34.2,201.4,62.5,140.3,30.8,158.6,200,"Forest",2,"migratory","Carnivore","Invertivore","Insessorial",-30.93,-11.78,-21.13,-50.61,2345332.63,"Extant"
"121","Harpyhaliaetus_coronatus","Accipitridae","Accipitriformes","Harpyhaliaetus coronatus",60.9,39.9,15.8,29.7,119.4,533,177.5,361.2,33,262.2,2950,"Shrubland",2,"partially_migratory","Carnivore","Vertivore","Insessorial",-38.92,-9.72,-22.07,-55.75,4233989.28,"Extant"
"122","Hieraaetus_pennatus","Accipitridae","Accipitriformes","Hieraaetus pennatus",33.8,19.1,10.1,17,65.3,361.8,151.3,209.1,42,198,823.8,"Forest",1,"migratory","Carnivore","Vertivore","Generalist",-34.84,57.55,42.1,55.17,6138248.03,"Extant"
"123","Ictinia_mississippiensis","Accipitridae","Accipitriformes","Ictinia mississippiensis",23,14.7,11,12.3,37,291.8,156.5,135.2,53.6,150.2,276,"Woodland",2,"migratory","Carnivore","Invertivore","Generalist",28.86,42.56,33.57,-92.91,824795.96,"Extant"
"124","Melierax_gabar","Accipitridae","Accipitriformes","Melierax gabar",20.2,11.5,7.8,11,47.2,187,64.6,123.7,34.3,147.5,169.6,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Insessorial",-34.84,19.43,-2.35,23.08,13910595.47,"Extant"
"125","Milvus_migrans","Accipitridae","Accipitriformes","Milvus migrans",40.1,22.4,12.9,16.5,51.9,466.4,219.9,237.5,48.1,293.8,734.1,"Woodland",3,"migratory","Omnivore","Omnivore","Aerial",-54.78,69.76,26.77,69.99,59168603.49,"Extant"
"126","Milvus_milvus","Accipitridae","Accipitriformes","Milvus milvus",40.2,26.6,13.2,18.7,52.9,481.5,241.6,241.6,49.9,317.3,1071.8,"Shrubland",2,"partially_migratory","Omnivore","Omnivore","Generalist",14.8,61.66,48.65,10.52,1698401.57,"Extant"
"127","Neophron_percnopterus","Accipitridae","Accipitriformes","Neophron percnopterus",61.7,33,10.4,13.5,77.2,490.8,236,255,48,247.2,2082,"Grassland",3,"migratory","Omnivore","Scavenger","Generalist",-25.09,45.93,27.02,47.48,14111672.38,"Extant"
"128","Pandion_haliaetus","Accipitridae","Accipitriformes","Pandion haliaetus",47,27.7,17.3,19.6,49.8,468.4,204.8,253,44.9,201.3,1483.2,"Marine",3,"migratory","Carnivore","Aquatic predator","Aerial",-37.8,70.69,49.18,25.45,31298390.01,"Extant"
"129","Parabuteo_unicinctus","Accipitridae","Accipitriformes","Parabuteo unicinctus",34.4,21.4,11.4,16.6,81.6,320.8,99.8,223.2,30.8,222,850.3,"Shrubland",2,"partially_migratory","Carnivore","Vertivore","Insessorial",-43.93,34.37,-10.52,-65.99,9015595.35,"Extant"
"130","Pernis_apivorus","Accipitridae","Accipitriformes","Pernis apivorus",34.8,19.1,11.7,13.7,43.9,407.4,154.2,253,37.9,253.2,754.4,"Forest",1,"migratory","Carnivore","Invertivore","Insessorial",35.76,67.06,54.03,38.95,9317297.54,"Extant"
"131","Rostrhamus_sociabilis","Accipitridae","Accipitriformes","Rostrhamus sociabilis",33.1,23.8,11.1,11.3,49.9,344.8,134.8,206.7,39.1,169.3,366.9,"Wetland",2,"partially_migratory","Carnivore","Aquatic predator","Insessorial",-37.65,29.74,-10.02,-58.23,11603405.03,"Extant"
"132","Sagittarius_serpentarius","Accipitridae","Accipitriformes","Sagittarius serpentarius",59.4,40.2,19,24.1,269.9,615.5,250.2,365.2,40.6,551.8,4017,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Terrestrial",-34.84,17.86,-3.98,23.61,14023594.92,"Extant"
"133","Torgos_tracheliotos","Accipitridae","Accipitriformes","Torgos tracheliotos",89.1,64,30.4,45.5,138.4,711.4,276.8,434.5,39.1,339.2,6969,"Grassland",3,"partially_migratory","Scavenger","Scavenger","Terrestrial",-30.62,29.99,2.61,26.93,8489832.71,"Extant"
"134","Cathartes_aura","Cathartidae","Accipitriformes","Cathartes aura",51.5,27.6,14.3,17.2,54,508.5,135.6,369,26.9,244,1518.2,"Human Modified",3,"partially_migratory","Scavenger","Scavenger","Terrestrial",-55.72,54.31,6.76,-77.26,28126442.74,"Extant"
"135","Coragyps_atratus","Cathartidae","Accipitriformes","Coragyps atratus",60,35,14.8,16.1,76.1,410.1,58.4,352.6,14.3,180,1881.7,"Human Modified",3,"partially_migratory","Omnivore","Scavenger","Terrestrial",-50.31,41.66,-4.79,-67.36,21173636.93,"Extant"
"136","Vultur_gryphus","Cathartidae","Accipitriformes","Vultur gryphus",96.8,64.8,30.1,29.1,127.4,789.9,350.5,430.5,44.9,359.4,11236.1,"Grassland",3,"partially_migratory","Scavenger","Scavenger","Terrestrial",-55.72,10.93,-30.77,-70.34,2543680.82,"Extant"
