species_number,common_name,clade,TreeName_Order,TreeName_Family,TreeName_Genus,TreeName_FINAL,PhyloName,vs_female,vs_male,redpeachpink_facial_skin,genital_notes,red_genitals,red_pelage_head,red_pelage_body_limbs,red_pelage_tail,activity_cycle,social_group_size_orig,social_group_size,multilevel
260,Masoala Fork-Marked Lemur,Strepsirrhine,Primates,Cheirogaleidae,Phaner,Phaner furcifer,Phaner_furcifer_CHEIROGALEIDAE_PRIMATES,NA,NA,0,0,0,0,0,0,noct,2,-0.395010853,0
261,Pale Fork-Marked Lemur,Strepsirrhine,Primates,Cheirogaleidae,Phaner,Phaner pallescens,Phaner_pallescens_CHEIROGALEIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,1,0,noct,2.14,-0.391569564,0
262,Sambirano Fork-Marked Lemur,Strepsirrhine,Primates,Cheirogaleidae,Phaner,Phaner parienti,Phaner_parienti_CHEIROGALEIDAE_PRIMATES,Monochromatic,Monochromatic,NA,0,0,NA,NA,NA,noct,NA,NA,0
263,Aye-Aye,Strepsirrhine,Primates,Daubentoniidae,Daubentonia,Daubentonia madagascariensis,Daubentonia_madagascariensis_DAUBENTONIIDAE_PRIMATES,Dichromatic,Dichromatic,0,vulva changes colour in oestrus,1,0,0,0,noct,1.3,-0.4122173,0
264,Southern Needle-Clawed Galago,Strepsirrhine,Primates,Galagidae,Euoticus,Euoticus elegantulus,Euoticus_elegantulus_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,1,0,noct,1,-0.419591491,0
265,Northern Needle-Clawed Galago,Strepsirrhine,Primates,Galagidae,Euoticus,Euoticus pallidus,Euoticus_pallidus_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,0,0,noct,1,-0.419591491,0
266,Somali Lesser Galago,Strepsirrhine,Primates,Galagidae,Galago,Galago gallarum,Galago_gallarum_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,1,0,noct,1,-0.419591491,0
267,Spectacled Lesser Galago,Strepsirrhine,Primates,Galagidae,Galago,Galago matschiei,Galago_matschiei_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,0,0,noct,1,-0.419591491,0
268,Southern Lesser Galago,Strepsirrhine,Primates,Galagidae,Galago,Galago moholi,Galago_moholi_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,0,0,noct,4.5,-0.333559258,0
269,Northern Lesser Galago,Strepsirrhine,Primates,Galagidae,Galago,Galago senegalensis,Galago_senegalensis_GALAGIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,0,0,noct,5.5,-0.30897862,0
270,Kenya Coast Galago,Strepsirrhine,Primates,Galagidae,Galagoides,Galagoides cocos,Galagoides_cocos_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,0,0,noct,NA,NA,NA
271,Demidoff's Dwarf Galago,Strepsirrhine,Primates,Galagidae,Galagoides,Galagoides demidovii,Galagoides_demidovii_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,0,0,noct,NA,NA,0
272,Grant's Dwarf Galago,Strepsirrhine,Primates,Galagidae,Galagoides,Galagoides granti,Galagoides_granti_GALAGIDAE_PRIMATES,NA,NA,NA,0,0,NA,NA,NA,noct,NA,NA,0
273,Malawi Galago,Strepsirrhine,Primates,Galagidae,Galagoides,Galagoides nyasae,Galagoides_nyasae_GALAGIDAE_PRIMATES,NA,NA,NA,0,0,NA,NA,NA,noct,NA,NA,NA
274,Mountain Dwarf Galago,Strepsirrhine,Primates,Galagidae,Galagoides,Galagoides orinus,Galagoides_orinus_GALAGIDAE_PRIMATES,NA,NA,0,0,0,1,1,0,noct,NA,NA,0
275,Rondo Dwarf Galago,Strepsirrhine,Primates,Galagidae,Galagoides,Galagoides rondoensis,Galagoides_rondoensis_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,0,1,noct,NA,NA,0
276,Thomas' Dwarf Galago,Strepsirrhine,Primates,Galagidae,Galagoides,Galagoides thomasi,Galagoides_thomasi_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,0,1,noct,NA,NA,0
277,Tanzania Coast Dwarf Galago,Strepsirrhine,Primates,Galagidae,Galagoides,Galagoides zanzibaricus,Galagoides_zanzibaricus_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,1,1,noct,NA,NA,0
278,Thick-Tailed Greater Galago,Strepsirrhine,Primates,Galagidae,Otolemur,Otolemur crassicaudatus,Otolemur_crassicaudatus_GALAGIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,0,0,noct,4,-0.345849577,0
279,Garnett's Greater Galago,Strepsirrhine,Primates,Galagidae,Otolemur,Otolemur garnettii,Otolemur_garnettii_GALAGIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,1,1,0,noct,1,-0.419591491,0
280,Bioko Squirrel Galago,Strepsirrhine,Primates,Galagidae,Sciurocheirus,Sciurocheirus alleni,Sciurocheirus_alleni_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,1,0,noct,NA,NA,0
281,Gabon Squirrel Galago,Strepsirrhine,Primates,Galagidae,Sciurocheirus,Sciurocheirus gabonensis,Sciurocheirus_gabonensis_GALAGIDAE_PRIMATES,NA,NA,0,0,0,0,0,0,noct,NA,NA,0
282,Makande Squirrel Galago,Strepsirrhine,Primates,Galagidae,Sciurocheirus,Sciurocheirus makandensis,Sciurocheirus_makandensis_GALAGIDAE_PRIMATES,NA,NA,NA,,0,NA,NA,NA,noct,NA,NA,NA
283,Eastern Gorilla,Catarrhine,Primates,Hominidae,Gorilla,Gorilla beringei,Gorilla_beringei_HOMINIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,0,0,0,di,10.2,-0.193449621,0
284,Western Gorilla,Catarrhine,Primates,Hominidae,Gorilla,Gorilla gorilla,Gorilla_gorilla_HOMINIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,1,0,0,di,11.1,-0.171327047,0
285,Bonobo,Catarrhine,Primates,Hominidae,Pan,Pan paniscus,Pan_paniscus_HOMINIDAE_PRIMATES,Trichromatic,Trichromatic,1,F periodic sexual swellings,1,0,0,0,di,30.5,0.305537331,0
286,Chimpanzee,Catarrhine,Primates,Hominidae,Pan,Pan troglodytes,Pan_troglodytes_HOMINIDAE_PRIMATES,Trichromatic,Trichromatic,1,F periodic sexual swellings,1,0,0,0,di,47.8,0.730782369,0
287,Sumatran Orangutan,Catarrhine,Primates,Hominidae,Pongo,Pongo abelii,Pongo_abelii_HOMINIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,1,1,0,di,1.6,-0.404843108,0
288,Bornean Orangutan,Catarrhine,Primates,Hominidae,Pongo,Pongo pygmaeus,Pongo_pygmaeus_HOMINIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,1,1,0,di,1.2,-0.414675364,0
289,Western Hoolock Gibbon,Catarrhine,Primates,Hylobatidae,Hoolock,Hoolock hoolock,Hoolock_hoolock_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,0,0,0,di,3,-0.370430215,0
290,Eastern Hoolock Gibbon,Catarrhine,Primates,Hylobatidae,Hoolock,Hoolock leuconedys,Hoolock_leuconedys_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,White preputial tuft,0,0,0,0,di,3.25,-0.364285056,0
291,Agile Gibbon,Catarrhine,Primates,Hylobatidae,Hylobates,Hylobates agilis,Hylobates_agilis_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,0,0,0,di,4.3,-0.338475386,0
292,Bornean White-Bearded Gibbon,Catarrhine,Primates,Hylobatidae,Hylobates,Hylobates albibarbis,Hylobates_albibarbis_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,0,1,0,di,NA,NA,0
293,Kloss' Gibbon,Catarrhine,Primates,Hylobatidae,Hylobates,Hylobates klossii,Hylobates_klossii_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,0,0,0,di,4.3,-0.338475386,0
294,Lar Gibbon,Catarrhine,Primates,Hylobatidae,Hylobates,Hylobates lar,Hylobates_lar_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,F periodic sexual swellings,1,0,0,0,di,4.4,-0.336017322,0
295,Silvery Gibbon,Catarrhine,Primates,Hylobatidae,Hylobates,Hylobates moloch,Hylobates_moloch_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,0,0,0,di,3.5,-0.358139896,0
296,Müller's Bornean Gibbon,Catarrhine,Primates,Hylobatidae,Hylobates,Hylobates muelleri,Hylobates_muelleri_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,0,0,0,di,3.4,-0.36059796,0
297,Pileated Gibbon,Catarrhine,Primates,Hylobatidae,Hylobates,Hylobates pileatus,Hylobates_pileatus_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,0,1,0,di,4,-0.345849577,0
298,Northern Yellow-Cheeked Crested Gibbon,Catarrhine,Primates,Hylobatidae,Nomascus,Nomascus annamensis,Nomascus_annamensis_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,1,1,0,di,NA,NA,NA
299,Western Black Crested Gibbon,Catarrhine,Primates,Hylobatidae,Nomascus,Nomascus concolor,Nomascus_concolor_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,0,0,0,di,4,-0.345849577,0
300,Southern Yellow-Cheeked Crested Gibbon,Catarrhine,Primates,Hylobatidae,Nomascus,Nomascus gabriellae,Nomascus_gabriellae_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,1,1,0,di,3.9,-0.348307641,0
301,Hainan Crested Gibbon,Catarrhine,Primates,Hylobatidae,Nomascus,Nomascus hainanus,Nomascus_hainanus_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,1,1,0,di,7.5,-0.259817344,0
302,Northern White-Cheeked Crested Gibbon,Catarrhine,Primates,Hylobatidae,Nomascus,Nomascus leucogenys,Nomascus_leucogenys_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,1,0,0,di,3.6,-0.355681832,0
303,Eastern Black Crested Gibbon,Catarrhine,Primates,Hylobatidae,Nomascus,Nomascus nasutus,Nomascus_nasutus_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,1,1,0,di,6,-0.296688301,NA
304,Southern White-Cheeked Crested Gibbon,Catarrhine,Primates,Hylobatidae,Nomascus,Nomascus siki,Nomascus_siki_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,1,1,0,di,NA,NA,0
305,Siamang,Catarrhine,Primates,Hylobatidae,Symphalangus,Symphalangus syndactylus,Symphalangus_syndactylus_HYLOBATIDAE_PRIMATES,Trichromatic,Trichromatic,0,0,0,0,0,0,di,3.6,-0.355681832,0
306,Betsileo Woolly Lemur,Strepsirrhine,Primates,Indriidae,Avahi,Avahi betsileo,Avahi_betsileo_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,0,1,noct,NA,NA,NA
307,Bemaraha Woolly Lemur,Strepsirrhine,Primates,Indriidae,Avahi,Avahi cleesei,Avahi_cleesei_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,0,0,noct,2.95,-0.371659247,NA
308,Eastern Woolly Lemur,Strepsirrhine,Primates,Indriidae,Avahi,Avahi laniger,Avahi_laniger_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,0,1,noct,2,-0.395010853,0
309,Southern Woolly Lemur,Strepsirrhine,Primates,Indriidae,Avahi,Avahi meridionalis,Avahi_meridionalis_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,0,1,noct,2,-0.395010853,NA
310,Masoala Woolly Lemur,Strepsirrhine,Primates,Indriidae,Avahi,Avahi mooreorum,Avahi_mooreorum_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,1,1,noct,NA,NA,NA
311,Western Woolly Lemur,Strepsirrhine,Primates,Indriidae,Avahi,Avahi occidentalis,Avahi_occidentalis_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,0,0,noct,3.5,-0.358139896,0
312,Peyrieras' Woolly Lemur,Strepsirrhine,Primates,Indriidae,Avahi,Avahi peyrierasi,Avahi_peyrierasi_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,1,1,noct,NA,NA,NA
313,Manombo Woolly Lemur,Strepsirrhine,Primates,Indriidae,Avahi,Avahi ramanantsoavanai,Avahi_ramanantsoavanai_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,NA,0,0,NA,NA,NA,noct,NA,NA,NA
314,Sambirano Woolly Lemur,Strepsirrhine,Primates,Indriidae,Avahi,Avahi unicolor,Avahi_unicolor_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,1,1,noct,2,-0.395010853,0
315,Indri,Strepsirrhine,Primates,Indriidae,Indri,Indri indri,Indri_indri_INDRIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,3.6,-0.355681832,0
316,Silky Sifaka,Strepsirrhine,Primates,Indriidae,Propithecus,Propithecus candidus,Propithecus_candidus_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,1,,0,0,0,1,di,4.33,-0.337737967,NA
317,Coquerel's Sifaka,Strepsirrhine,Primates,Indriidae,Propithecus,Propithecus coquereli,Propithecus_coquereli_INDRIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,1,0,di,4.5,-0.333559258,0
318,Crowned Sifaka,Strepsirrhine,Primates,Indriidae,Propithecus,Propithecus coronatus,Propithecus_coronatus_INDRIIDAE_PRIMATES,Polymorphic,Dichromatic,0,,0,0,1,0,di,3.58,-0.356173445,NA
319,Von Der Decken's Sifaka,Strepsirrhine,Primates,Indriidae,Propithecus,Propithecus deckenii,Propithecus_deckenii_INDRIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,4.07,-0.344128932,0
320,Diademed Sifaka,Strepsirrhine,Primates,Indriidae,Propithecus,Propithecus diadema,Propithecus_diadema_INDRIIDAE_PRIMATES,Polymorphic,Dichromatic,0,M reddish perineum - PELAGE,0,0,1,0,di,4.6,-0.331101194,0
321,Milne-Edwards' Sifaka,Strepsirrhine,Primates,Indriidae,Propithecus,Propithecus edwardsi,Propithecus_edwardsi_INDRIIDAE_PRIMATES,Polymorphic,Dichromatic,0,F brief pink genital swelling,1,0,1,0,di,5.36,-0.312419909,0
322,Perrier's Sifaka,Strepsirrhine,Primates,Indriidae,Propithecus,Propithecus perrieri,Propithecus_perrieri_INDRIIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,0,0,di,3.67,-0.353961188,0
323,Golden-Crowned Sifaka,Strepsirrhine,Primates,Indriidae,Propithecus,Propithecus tattersalli,Propithecus_tattersalli_INDRIIDAE_PRIMATES,Polymorphic,Dichromatic,0,F brief pink genital swelling,1,1,1,0,di,4.01,-0.345603771,0
324,Verreaux's Sifaka,Strepsirrhine,Primates,Indriidae,Propithecus,Propithecus verreauxi,Propithecus_verreauxi_INDRIIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,1,0,di,5.54,-0.307995394,0
325,White-Fronted Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur albifrons,Eulemur_albifrons_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,1,1,cath,8.05,-0.246297993,0
326,White-Collared Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur cinereiceps,Eulemur_cinereiceps_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,1,1,cath,6.69,-0.279727661,0
327,Collared Brown Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur collaris,Eulemur_collaris_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,1,1,cath,7.03,-0.271370244,0
328,Crowned Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur coronatus,Eulemur_coronatus_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,0,0,cath,6.07,-0.294967656,0
329,Blue-Eyed Black Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur flavifrons,Eulemur_flavifrons_LEMURIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,1,cath,7.35,-0.26350444,NA
330,Brown Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur fulvus,Eulemur_fulvus_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,0,1,cath,8.46,-0.236219931,0
331,Black Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur macaco,Eulemur_macaco_LEMURIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,1,cath,9.56,-0.20918123,0
332,Mongoose Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur mongoz,Eulemur_mongoz_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,1,0,cath,2.81,-0.375100536,0
333,Red-Bellied Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur rubriventer,Eulemur_rubriventer_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,0,0,cath,2.81,-0.375100536,0
334,Red-Fronted Brown Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur rufifrons,Eulemur_rufifrons_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,1,1,cath,5.43,-0.310699265,NA
335,Red Brown Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur rufus,Eulemur_rufus_LEMURIDAE_PRIMATES,NA,NA,0,0,0,0,1,1,cath,6.37,-0.287593465,0
336,Sanford's Brown Lemur,Strepsirrhine,Primates,Lemuridae,Eulemur,Eulemur sanfordi,Eulemur_sanfordi_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,1,1,cath,6.88,-0.27505734,0
337,Alaotran Bamboo Lemur,Strepsirrhine,Primates,Lemuridae,Hapalemur,Hapalemur alaotrensis,Hapalemur_alaotrensis_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,0,0,cath,2.68,-0.378296019,0
338,Golden Bamboo Lemur,Strepsirrhine,Primates,Lemuridae,Hapalemur,Hapalemur aureus,Hapalemur_aureus_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,1,1,cath,3.14,-0.366988926,0
339,Grey Bamboo Lemur,Strepsirrhine,Primates,Lemuridae,Hapalemur,Hapalemur griseus,Hapalemur_griseus_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,0,0,di,4.28,-0.338966998,0
340,Southern Bamboo Lemur,Strepsirrhine,Primates,Lemuridae,Hapalemur,Hapalemur meridionalis,Hapalemur_meridionalis_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,0,0,cath,5.08,-0.319302488,NA
341,Northern Bamboo Lemur,Strepsirrhine,Primates,Lemuridae,Hapalemur,Hapalemur occidentalis,Hapalemur_occidentalis_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,0,0,cath,3.63,-0.354944413,0
342,Ring-Tailed Lemur,Strepsirrhine,Primates,Lemuridae,Lemur,Lemur catta,Lemur_catta_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,F sexual swellings,1,0,0,0,cath,11.06,-0.172310273,0
343,Greater Bamboo Lemur,Strepsirrhine,Primates,Lemuridae,Prolemur,Prolemur simus,Prolemur_simus_LEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,1,0,0,cath,9.72,-0.205248328,0
344,Red Ruffed Lemur,Strepsirrhine,Primates,Lemuridae,Varecia,Varecia rubra,Varecia_rubra_LEMURIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,1,1,0,di,4.8,-0.326185067,0
345,Black-and-White Ruffed Lemur,Strepsirrhine,Primates,Lemuridae,Varecia,Varecia variegata,Varecia_variegata_LEMURIDAE_PRIMATES,Polymorphic,Dichromatic,0,0,0,0,0,0,di,6.03,-0.295950882,0
346,Antafia Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur aeeclis,Lepilemur_aeeclis_LEPILEMURIDAE_PRIMATES,NA,NA,NA,0,0,NA,NA,NA,noct,NA,NA,NA
347,Tsiombikibo Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur ahmansonorum,Lepilemur_ahmansonorum_LEPILEMURIDAE_PRIMATES,NA,NA,NA,0,0,NA,NA,NA,noct,NA,NA,NA
348,Ankarana Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur ankaranensis,Lepilemur_ankaranensis_LEPILEMURIDAE_PRIMATES,NA,NA,0,0,0,0,0,0,noct,2,-0.395010853,0
349,Betsileo Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur betsileo,Lepilemur_betsileo_LEPILEMURIDAE_PRIMATES,NA,NA,0,0,0,0,1,0,noct,NA,NA,NA
350,Gray's Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur dorsalis,Lepilemur_dorsalis_LEPILEMURIDAE_PRIMATES,NA,NA,1,0,0,1,1,1,noct,2,-0.395010853,0
351,Milne-Edwards' Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur edwardsi,Lepilemur_edwardsi_LEPILEMURIDAE_PRIMATES,Dichromatic,Dichromatic,0,0,0,0,1,0,noct,2,-0.395010853,0
352,Andohahela Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur fleuretae,Lepilemur_fleuretae_LEPILEMURIDAE_PRIMATES,NA,NA,NA,0,0,NA,NA,NA,noct,NA,NA,NA
353,Anjiamangirana Sportive Lemur,Strepsirrhine,Primates,Lepilemuridae,Lepilemur,Lepilemur grewcockorum,Lepilemur_grewcockorum_LEPILEMURIDAE_PRIMATES,NA,NA,1,0,0,0,0,0,noct,NA,NA,NA
